latitude,longitude
47.188216,7.401496
47.348979,8.717593
47.37545935,7.94404536
47.28752013,8.71095613
47.167236,8.104228
47.05663687,8.31016189
47.72261,8.643419
47.5645498,7.5669566
47.420278,8.503611
46.15174637,8.77191322
47.520672,8.791654
47.197881,7.5964834
47.00787296,8.4836108
47.562155,7.6115155
47.3914897,8.0495286
46.727515,7.627741
46.245126,6.19333
46.504373,6.488969
47.198287,7.523727
46.963746,7.3841
46.22685,6.058581
47.569857,7.603699
47.040181,8.1801743
47.32727281,8.57493518
47.17207188,8.51858611
47.190676,7.553462
46.353841,7.1501154
46.423945,6.2549267
46.523072,6.8974636
47.139088,7.2473675
47.5472991,7.59231203
46.950698,7.3927387
47.181572,7.5634409
46.740399,7.6222611
46.997371,7.458359
47.257121,7.0001883
47.508007,7.5533179
47.494034,7.5932032
46.817522,7.1288836
47.454134,7.7360175
47.55533646,8.76881964
47.39634584,8.51198911
47.37942158,8.55247418
47.3955898,8.50533068
47.58523878,7.65057994
47.443062,8.3626103
47.464714,7.8523881
47.46376225,7.81393609
47.072173,8.364586
46.965888,6.8542001
46.921954,6.624749
47.417505,7.0776776
47.18588693,8.73684241
47.39673789,8.48591995
47.4778398,7.6024748
46.15984731,8.77405662
46.15570824,8.77016474
46.30969345,6.94236665
46.47786538,8.79768066
47.287422,7.7093042
46.643766,6.6362293
47.21320634,7.7892568
47.46157238,8.52428
47.06825773,7.60219997
47.539258,7.5759825
47.47055,7.5962704
47.463428,7.8146454
47.2999516,8.76821959
46.21934257,7.35095016
46.894163,7.2991762
47.04409374,6.8967542
47.16769051,8.72741348
46.797808,7.683602
47.485479,7.731362
47.4974795,8.7611817
47.251746,8.694469
47.366701,8.781923
46.980096,7.7397308
47.171512,7.5729303
47.2024069,7.7825874
47.19433187,7.69661594
46.886627,7.3890768
46.907306,7.2356494
47.3626344,8.7919543
47.35964829,8.78674588
46.39743927,6.20660376
46.39710427,6.20599173
47.4140528,8.5491639
46.52744944,6.59354721
46.30987918,6.94229459
47.55173427,8.5654931
47.55174515,8.56558224
47.414876,8.5525848
47.05309203,8.55778013
47.312561,8.5280433
47.56553,7.6085279
47.1443652,8.438942
47.41891951,8.39363555
47.39064793,8.51733646
47.39037555,8.51814917
45.98614168,8.94416943
47.369521,8.770798
47.563966,7.5946533
47.42412747,8.21829653
46.223716,7.2948896
47.643887,8.60593
47.56223,7.5774551
47.564223,7.6183257
47.562527,7.6247012
47.548062,7.5652049
47.56788,7.5865493
47.548182,7.5738879
47.558144,7.6046492
47.566835,7.5807951
47.555231,7.6089712
47.298965,8.838333
47.5576833,7.54492638
47.580149,7.5926209
47.552332,7.5812989
47.547264,7.5598857
47.554119,7.5688316
47.55104,7.56112
47.562434,7.603939
47.548277,7.5762473
47.561274,7.5696594
47.557291,7.5788351
47.559879,7.5997918
47.551343,7.578572
47.546489,7.6067103
47.187667,7.8485458
47.2025,7.7829
47.44953301,8.2149119
47.482325,7.7442236
47.39046635,8.51788631
47.302624,8.720338
47.367778,8.496389
46.466945,7.433182
47.448836,8.4630656
47.160497,7.5264891
47.18594428,8.45780874
46.82850702,6.92837027
47.67490638,8.61451092
47.69022999,8.64755839
46.28043935,7.51029162
47.48844,8.44705
47.38336426,8.66857256
47.49545435,8.75774895
47.69024593,8.64756554
47.31252,7.911352
47.49540905,8.75788306
46.2804212,7.51032525
46.76186465,6.89043585
46.780582,7.6093617
46.922854,7.4159166
46.955253,7.4842691
47.146849,8.4323904
47.490707,7.714362
46.47708332,6.40248919
46.473887,7.1337603
47.602775,8.6882805
47.32744391,8.80210954
47.211885,7.5126834
46.94086001,7.77839001
47.4193147,8.5568084
47.414945,8.23737621
46.067064,7.776328
47.44527014,8.35641796
47.445398,8.357572
46.95820153,7.46926472
46.69124854,6.91494417
46.5704,6.819842
46.8772308,7.0317451
47.224354,8.822551
47.183647,8.11087
46.526916,6.5272198
47.415278,8.563333
47.3625,8.560278
47.247203,7.961748
47.338611,8.538889
47.506454,8.5416717
46.788417,7.6057003
47.67477499,8.61449013
47.502221,8.7746183
47.256774,8.8505268
47.525897,7.6970898
46.929424,7.561634
47.41292473,8.59138665
47.38261,8.56716
47.503023,7.8652919
47.437579,7.8103463
47.191871,7.3980907
47.191871,7.39809073
47.4944952,8.44899152
47.564089,7.5977353
47.565763,7.5929316
47.557754,7.5685966
47.393541,8.656194
47.5807414,7.59638133
46.98877836,7.46268224
47.07836,8.27828
47.57152,7.581223
46.21727814,6.06594576
46.66836513,6.80044838
47.4140895,8.39905849
47.57849592,7.57794101
47.30432,8.824393
47.36026881,7.38244261
46.95130272,7.39492291
47.1845536,8.5218977
47.63420251,8.79561099
47.448761,8.4628546
47.10080678,8.2009729
47.404722,8.594167
47.566742,7.5760034
47.532709,7.5953659
47.398594,8.46097
47.567163,7.5595107
47.569031,7.6177159
47.577431,7.5894129
47.445228,8.3564242
46.900233,8.248034
47.246099,8.646095
47.576801,7.6422329
47.545461,7.5612217
47.27483514,8.82876999
47.08002248,8.29908996
47.50504514,8.54048087
47.41162141,8.61805568
47.13102919,7.99893045
47.550203,7.5731475
46.789964,6.6229948
47.569553,7.5816488
47.558783,7.5678802
47.570218,7.5923061
47.544128,7.5950751
47.539736,7.5878012
47.13108074,7.99894788
47.546699,7.5620004
47.559685,7.5823222
47.541764,7.5880928
47.563517,7.5656292
47.36966,8.0432
47.405198,8.008649
47.39290336,8.06482538
47.392733,8.066258
47.389352,8.073515
47.26417393,8.01089843
47.387807,8.075279
47.39154518,8.05136132
47.388118,8.752624
